"","GupDM_A_11","GupDM_A_15","GupDM_A1","GupDM_A10","GupDM_A12","GupDM_A13","GupDM_A14","GupDM_A2","GupDM_A3","GupDM_A4","GupDM_A5","GupDM_A6","GupDM_A7","GupDM_A8","GupDM_A9","GupDM_HAG","GupDM_HAH","GupDM_HAI","GupDM_HAJ","GupDM_HAK","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HBR","GupDM_HCL","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HCP","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCU","GupDM_HCV","GupDM_HCY","GupDM_HDB","GupDM_HDF","GupDM_HP","GupDM_HR","GupDM_HS","GupDM_JA","GupDM_JB","GupDM_JC","GupDM_JD","GupDM_JE","GupDM_JG","GupDM_JH","GupDM_JI","GupDM_JJ","GupDM_JK","GupDM_JL","GupDM_JM","GupDM_JN","GupDM_JO","GupDM_JP"
"species-Prevotella_nigrescens",0,0,0,0,0,0,0,257392,0,0,0,0,0,0,8307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30735,0,0,0,0,0,18512,0,0,0,0,0,27748,1008
"species-Porphyromonas_endodontalis",0,0,0,0,0,0,0,197382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57891,0,0,0,0,0,49943,0,0,0,0,0,61645,10586
"species-Clostridium_sp._CAG-964",0,0,0,0,0,0,0,164121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5943,0,0,0,0,0,0
"species-Dialister_pneumosintes",0,0,0,0,0,0,0,121726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52724,0,9356,0,0,0,51219,29675,0,0,0,0,53545,7484
"species-Prevotella_sp._CAG-5226",0,0,0,0,0,0,0,18587,0,0,95042,93471,0,0,0,628620,0,0,0,239596,0,0,0,2294343,0,0,395742,0,526210,0,0,0,20064,0,67922,0,0,0,0,0,0,0,0,0,204722,0,0,0,14528,157924,0,0,0,57386,114940,0,0,0,0,105828
"species-Ruminococcus_sp._CAG-563",0,0,0,0,0,0,0,14980,0,0,0,0,0,0,0,0,0,0,0,18610,0,19991,0,0,0,0,0,0,0,0,0,0,0,0,0,16256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,4113
"species-Mogibacterium_diversum",0,0,0,0,0,0,0,13334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"species-Firmicutes_bacterium_CAG-238",0,0,0,0,0,0,0,3315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11968,6923,22003,3163,0,11144,23024,18360,0,6600,7503,8407,16604
"species-Bacteroides_cellulosilyticus",0,0,0,0,0,0,0,3127,0,0,0,2075,0,0,0,0,0,0,0,0,0,0,20467,0,0,0,0,0,0,0,0,0,0,1524,9893,0,0,0,0,0,0,0,0,0,0,188536,0,0,0,0,0,0,0,0,0,222496,0,0,0,0
"species-Desulfovibrionaceae_bacterium",0,0,0,0,0,0,0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"species-Alistipes_inops",0,0,0,0,0,0,0,0,224414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"species-Alistipes_finegoldii",0,0,0,0,0,0,0,0,49031,12135,0,14158,0,0,0,491,0,0,0,0,0,2068,0,0,0,0,0,6171,0,0,0,0,424,57395,0,0,0,0,0,0,5645,154,0,239,0,0,0,22286,10929,0,0,0,17581,8144,0,0,21231,18608,13949,0
"species-Desulfovibrio_legallii",0,0,0,0,0,0,0,0,31187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"species-Bacteroides_salyersiae",0,0,0,0,0,0,0,0,29718,0,0,206699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12153,0,0,0,0,0,7460,0,0,0,0,0,9631,0
"species-Mitsuokella_multacida",0,0,0,0,0,0,0,0,11620,0,1073853,410,159164,0,95293,0,0,0,1678,533,227405,1114,0,0,0,0,46009,280085,0,0,11245,3682,0,0,404679,0,0,2282,407,0,291942,0,235579,0,562147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"species-Alistipes_indistinctus",0,0,0,0,0,0,0,0,8759,261,0,258145,16843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57894,0,0,2875,0,0,0,2292,0,0,0,13536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"species-Holdemanella_biformis",0,0,0,0,0,0,0,0,7363,0,0,0,0,730,0,0,2628,0,0,0,406,0,0,121253,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16675,0,0,0,15736,2587,0,0,29808,0,14474,711,0,0,337,0,13981,20669
"species-Firmicutes_bacterium_CAG-83",0,0,0,0,0,0,0,0,433,2857,0,53952,71653,0,0,4623,0,0,0,2309,0,0,46613,0,5322,0,0,1411,0,0,125360,8644,59146,57657,16158,11917,0,491,8556,1789,0,0,1052,35506,1633,0,0,0,0,0,118928,0,1326,1065,0,0,0,0,602,78210
"species-Ruminococcus_sp._CAG-488",0,0,0,0,0,0,0,0,0,168427,0,0,0,0,0,0,0,0,0,4551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33843,0,0,0,0,0,0,0,0,0,0,217564,14566,0,0,0,511069,0,10482,0,0,272528,0,0,12772,288204
"species-Prevotella_sp._AM42-24",0,0,0,0,0,0,0,0,0,72212,70462,0,48458,0,0,0,0,0,0,676142,0,0,0,0,0,255334,563689,0,178530,0,112110,0,0,0,0,119167,0,0,0,0,0,0,320175,0,1062169,1531,122145,0,0,2167,16153,0,123398,0,2500,7279,0,0,150642,58053
"species-Eubacterium_sp._OM08-24",0,0,0,0,0,0,0,0,0,19979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339,0,0,0,0,0,3184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
